Index,Mkt.RF,SMB,HML,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ
28/2/2002,0.0508,0.0043,0.0307,0.0013,2.83289E-05,-0.01016684,0.062878071,0.004344166,0.031015328
31/3/2002,0.0563,0.0043,-0.0559,0.0013,2.08309E-05,0.011184334,0.045881448,0.004252439,-0.055281711
30/4/2002,0.0521,0.0127,-0.0126,0.0015,2.49966E-05,0.035969258,0.016993599,0.012259051,-0.012162523
31/5/2002,0.071,0.0155,0.0274,0.0014,2.16641E-05,0.037395281,0.03372123,0.014941267,0.026412304
30/6/2002,-0.0479,0.0158,0.0161,0.0013,2.33303E-05,0.033287333,-0.077337095,0.015291003,0.015581339
31/7/2002,-0.0604,0.0362,0.0319,0.0015,1.5832E-05,-0.006563915,-0.052697716,0.036439184,0.032110772
31/8/2002,-0.0142,-0.0132,0.018,0.0014,5.83315E-06,0.019482445,-0.031671356,-0.012947746,0.017656018
30/9/2002,-0.0494,-0.0006,0.0397,0.0014,7.49969E-06,-0.038052557,-0.010348442,-0.000623735,0.041270446
31/10/2002,-0.0677,-0.0272,0.0126,0.0014,1.41656E-05,-0.00130203,-0.065096875,-0.027235461,0.012616427
30/11/2002,0.0303,-0.0602,-0.009,0.0012,1.41656E-05,0.005729017,0.025610016,-0.059857078,-0.008948733
31/12/2002,-0.0242,0.0222,0.0123,0.0011,1.41656E-05,0.01816591,-0.040543817,0.021803912,0.012080546
31/1/2003,-0.0341,0.0385,0.0168,0.001,1.41656E-05,0.007979505,-0.040768472,0.038195221,0.016667006
28/2/2003,0.0146,0.0206,0.0583,0.0009,1.66651E-05,0.011168677,0.004266817,0.020372467,0.057656058
31/3/2003,-0.0293,0.0314,0.0183,0.001,2.24972E-05,-0.017728278,-0.010785021,0.031966715,0.018630283
30/4/2003,0.0109,0.0349,0.0014,0.001,1.66651E-05,0.00146211,0.010405985,0.034849047,0.001397956
31/5/2003,0.0453,0.0209,-0.0219,0.0009,1.41656E-05,0.012092001,0.033686327,0.020650297,-0.021638349
30/6/2003,0.0712,0.0019,0.0194,0.001,5.83315E-06,-0.012731143,0.086020524,0.001924501,0.019650169
31/7/2003,0.0347,-0.0106,-0.0056,0.0007,8.33295E-06,-0.004322347,0.039886454,-0.010646016,-0.00562431
31/8/2003,0.0979,-0.0153,0.0243,0.0007,2.66628E-05,0.025268451,0.07149758,-0.014922921,0.02370111
30/9/2003,0.0748,0.0303,-0.0168,0.0008,4.16571E-05,0.049505836,0.024821629,0.02887073,-0.016007534
31/10/2003,0.0416,0.0446,-0.0284,0.0007,2.41635E-05,0.029227654,0.012676959,0.043333465,-0.027593507
30/11/2003,-0.0387,-0.0323,-0.002,0.0007,1.49988E-05,-0.005902539,-0.032303041,-0.032491784,-0.002011875
31/12/2003,0.0647,-0.0195,0.0279,0.0008,1.66651E-05,0.020451044,0.044129457,-0.019109197,0.027340851
